# pocket-island-perf-v1 build=71e89695638d new_3ds=1 capture=0
elapsed_ms,frames,fps,frame_ms,p95_ms,max_ms,update_skin_ms,upload_ms,draw_ui_ms,end_ms,wait_ms,gpu_previous_ms,steps_per_frame,avatar_vertices,terrain_vertices,action,panel
1069.137,11,10.289,97.194,117.504,117.504,76.291,8.503,4.243,0.256,7.847,13.277,2.364,24960,73824,0,0
2122.549,9,8.544,117.046,117.581,117.581,96.749,8.418,4.183,0.260,7.377,13.327,3.000,24960,73824,1,0
3175.051,9,8.551,116.945,117.556,117.556,96.891,8.376,4.151,0.239,7.229,13.274,3.000,24960,73824,0,0
5162.424,9,8.553,116.912,117.673,117.673,92.519,7.748,5.321,0.257,11.012,12.878,3.000,23040,73824,1,1
6216.185,9,8.541,117.085,117.866,117.866,92.570,7.790,5.231,0.247,11.193,12.909,3.000,23040,73824,1,1
7268.582,9,8.552,116.933,117.456,117.456,92.476,7.703,5.363,0.243,11.090,12.918,3.000,23040,73824,1,1
8322.229,9,8.542,117.072,117.651,117.651,92.471,7.751,5.333,0.242,11.218,12.963,3.000,23040,73824,1,1
9374.552,9,8.553,116.925,117.220,117.220,92.631,7.781,5.208,0.244,11.004,12.993,3.000,23040,73824,1,1
10427.865,9,8.544,117.035,117.467,117.467,92.541,7.839,5.283,0.245,11.070,12.990,3.000,23040,73824,1,1
11480.577,9,8.549,116.968,117.481,117.481,92.559,7.770,5.289,0.252,11.040,13.037,3.000,23040,73824,1,1
12533.758,9,8.546,117.020,117.603,117.603,92.475,7.732,5.308,0.237,11.211,13.026,3.000,23040,73824,1,1
13586.421,9,8.550,116.962,117.646,117.646,92.527,7.697,5.302,0.273,11.105,13.091,3.000,23040,73824,1,1
14639.677,9,8.545,117.028,117.838,117.838,92.501,7.825,5.209,0.246,11.190,13.125,3.000,23040,73824,1,1
15692.270,9,8.550,116.955,117.752,117.752,92.503,7.841,5.264,0.255,11.034,13.059,3.000,23040,73824,1,1
16745.523,9,8.545,117.028,117.702,117.702,92.495,7.788,5.288,0.275,11.125,12.985,3.000,23040,73824,1,1
17798.157,9,8.550,116.959,117.484,117.484,92.505,7.672,5.372,0.262,11.086,13.234,3.000,23040,73824,1,1
18851.646,9,8.543,117.054,117.506,117.506,92.558,7.872,5.245,0.242,11.077,13.098,3.000,23040,73824,1,1
19904.160,9,8.551,116.946,117.342,117.342,92.675,7.791,5.280,0.271,10.872,13.066,3.000,23040,73824,1,1
20957.477,9,8.544,117.035,117.300,117.300,92.495,7.820,5.335,0.246,11.083,12.807,3.000,23040,73824,1,1
22009.922,9,8.552,116.938,117.587,117.587,92.481,7.725,5.365,0.260,11.051,12.974,3.000,23040,73824,1,1
23063.473,9,8.543,117.061,117.623,117.623,92.549,7.743,5.354,0.250,11.107,13.172,3.000,23040,73824,1,1
24115.827,9,8.552,116.928,117.758,117.758,92.554,7.744,5.229,0.252,11.092,13.185,3.000,23040,73824,1,1
25287.012,9,8.543,117.056,117.812,117.812,92.508,7.822,4.192,0.252,12.226,13.488,3.000,23040,73824,1,0
26339.457,9,8.552,116.938,117.741,117.741,92.448,7.733,4.203,0.246,12.251,13.366,3.000,23040,73824,0,0
27626.971,9,8.551,116.950,117.479,117.479,97.644,8.410,5.353,0.257,5.231,13.239,3.000,25176,73824,1,1
28680.434,9,8.543,117.051,117.834,117.834,96.639,8.282,5.291,0.261,6.518,13.102,3.000,25176,73824,1,1
29733.010,9,8.550,116.953,117.188,117.188,97.791,8.530,5.247,0.246,5.081,13.071,3.000,25176,73824,1,1
30786.451,9,8.543,117.049,117.596,117.596,97.645,8.521,5.295,0.248,5.283,13.094,3.000,25176,73824,1,1
31839.161,9,8.549,116.968,117.629,117.629,97.625,8.441,5.375,0.250,5.210,13.124,3.000,25176,73824,0,1
